TransactionID,Date,CustomerID,CustomerName,AgeGroup,Gender,Region,Country,City,ProductID,ProductName,Category,Quantity,SalesAmount,CostPrice,Profit,DiscountPercent,PaymentMode,SalesChannel
T10046,2024-01-24,C145,Maria Gomez,26-35,Male,Asia,Japan,Tokyo,P205,Headphones,Accessories,1,933,835.06,97.94,0.1,UPI,Online
T10047,2024-04-21,C146,John Carter,26-35,Female,North America,USA,New York,P303,Washing Machine,Appliances,4,2632,1698.21,933.79,0.13,Cash,In-Store
T10048,2024-03-20,C147,Lucas Brown,36-50,Female,Africa,Kenya,Nairobi,P520,Microwave Oven,Appliances,1,1844,1433.28,410.72,0.17,Debit Card,Online
T10049,2024-01-19,C148,Priya Nair,26-35,Male,North America,Canada,Vancouver,P520,Microwave Oven,Appliances,2,3168,2116.06,1051.94,0.16,Credit Card,Online
T10050,2024-02-21,C149,Sarah Miller,50+,Male,South America,Brazil,São Paulo,P205,Headphones,Accessories,1,978,703.45,274.55,0.13,Credit Card,Online
T10051,2024-04-13,C150,Jake Turner,36-50,Other,Asia,Singapore,Singapore,P402,Monitor,Electronics,1,1852,1300.7,551.3,0.03,Debit Card,In-Store
T10052,2024-01-23,C151,Maria Gomez,50+,Male,South America,Argentina,Buenos Aires,P303,Washing Machine,Appliances,3,4113,2786.07,1326.93,0.16,Debit Card,In-Store
T10053,2024-03-30,C152,Sonia Patel,26-35,Other,Asia,Singapore,Singapore,P520,Microwave Oven,Appliances,4,4264,3219.28,1044.72,0.07,Credit Card,Online
T10054,2024-01-01,C153,Aditi Sharma,18-25,Female,Africa,Egypt,Cairo,P205,Headphones,Accessories,4,1212,1053.43,158.57,0.23,Credit Card,In-Store
T10055,2024-04-28,C154,Natalie Reed,26-35,Male,Africa,Egypt,Cairo,P402,Monitor,Electronics,1,1306,920.42,385.58,0.18,UPI,Online
T10056,2024-01-03,C155,Rohan Gupta,18-25,Male,North America,Mexico,Monterrey,P112,Mobile Phone,Electronics,4,804,579.97,224.03,0.22,Credit Card,Online
T10057,2024-04-25,C156,Natalie Reed,18-25,Female,Asia,Japan,Osaka,P205,Headphones,Accessories,3,5094,3303.4,1790.6,0.22,Credit Card,In-Store
T10058,2024-03-24,C157,Emily Clark,36-50,Female,North America,Canada,Toronto,P520,Microwave Oven,Appliances,2,2600,1850.38,749.62,0.24,Debit Card,Online
T10059,2024-01-25,C158,Jake Turner,36-50,Other,Asia,Singapore,Singapore,P402,Monitor,Electronics,1,963,624.26,338.74,0.14,Cash,In-Store
T10060,2024-02-23,C159,Aditi Sharma,36-50,Male,Europe,UK,Manchester,P101,Laptop,Electronics,3,5379,4832.16,546.84,0.04,Cash,Online
T10061,2024-03-08,C160,Michael Ross,26-35,Other,North America,USA,Chicago,P101,Laptop,Electronics,1,447,311.84,135.16,0.19,Credit Card,Online
T10062,2024-01-08,C161,Ethan Wilson,36-50,Female,North America,Canada,Toronto,P101,Laptop,Electronics,3,3804,3032.87,771.13,0.14,Cash,In-Store
T10063,2024-03-16,C162,Meera Iyer,36-50,Other,Africa,Kenya,Nairobi,P101,Laptop,Electronics,3,5868,4641.0,1227.0,0.06,Debit Card,In-Store
T10064,2024-01-30,C163,Sarah Miller,50+,Other,Africa,South Africa,Johannesburg,P205,Headphones,Accessories,2,558,400.6,157.4,0.22,Credit Card,Online
T10065,2024-01-27,C164,Lucas Brown,18-25,Male,Europe,Germany,Munich,P520,Microwave Oven,Appliances,3,825,581.64,243.36,0.16,Debit Card,In-Store
T10066,2024-04-20,C165,Michael Ross,26-35,Female,North America,Mexico,Monterrey,P520,Microwave Oven,Appliances,4,6216,4093.69,2122.31,0.18,Credit Card,Online
T10067,2024-01-19,C166,Daniel Wong,26-35,Male,South America,Chile,Santiago,P112,Mobile Phone,Electronics,4,2384,1980.07,403.93,0.01,UPI,In-Store
T10068,2024-02-13,C167,John Carter,26-35,Female,Africa,Kenya,Nairobi,P101,Laptop,Electronics,4,828,733.76,94.24,0.23,Net Banking,In-Store
T10069,2024-04-08,C168,Natalie Reed,26-35,Female,North America,Mexico,Mexico City,P303,Washing Machine,Appliances,4,7272,6442.42,829.58,0.08,Cash,In-Store
T10070,2024-02-15,C169,Jake Turner,26-35,Female,Africa,South Africa,Cape Town,P520,Microwave Oven,Appliances,1,656,583.24,72.76,0.21,Net Banking,In-Store
T10071,2024-03-03,C170,Natalie Reed,36-50,Male,Africa,South Africa,Johannesburg,P402,Monitor,Electronics,1,1030,676.99,353.01,0.07,Net Banking,Online
T10072,2024-03-07,C171,John Carter,26-35,Other,South America,Argentina,Buenos Aires,P112,Mobile Phone,Electronics,4,268,205.57,62.43,0.23,Cash,Online
T10073,2024-02-27,C172,Sonia Patel,36-50,Other,North America,Canada,Toronto,P205,Headphones,Accessories,3,5835,3624.26,2210.74,0.05,Cash,In-Store
T10074,2024-02-16,C173,Natalie Reed,18-25,Other,Africa,Egypt,Cairo,P101,Laptop,Electronics,2,3472,2229.11,1242.89,0.13,Debit Card,In-Store
T10075,2024-01-02,C174,Maria Gomez,26-35,Male,South America,Brazil,Rio,P303,Washing Machine,Appliances,2,1668,1425.47,242.53,0.03,UPI,In-Store
T10076,2024-04-27,C175,Lucas Brown,50+,Other,Africa,South Africa,Johannesburg,P402,Monitor,Electronics,4,4448,3060.57,1387.43,0.2,Debit Card,Online
T10077,2024-04-08,C176,Lucas Brown,26-35,Other,North America,Mexico,Mexico City,P520,Microwave Oven,Appliances,2,1940,1519.9,420.1,0.02,Cash,Online
T10078,2024-01-07,C177,Sarah Miller,50+,Female,Asia,India,Delhi,P112,Mobile Phone,Electronics,1,85,71.36,13.64,0.16,Cash,Online
T10079,2024-04-19,C178,Lucas Brown,18-25,Other,Asia,Japan,Tokyo,P101,Laptop,Electronics,4,2812,2438.01,373.99,0.08,Net Banking,Online
T10080,2024-04-01,C179,Daniel Wong,50+,Female,North America,USA,New York,P101,Laptop,Electronics,2,1766,1291.9,474.1,0.17,UPI,In-Store
T10081,2024-02-20,C180,Ethan Wilson,26-35,Other,Asia,Japan,Tokyo,P112,Mobile Phone,Electronics,1,1771,1350.91,420.09,0.07,Net Banking,Online
T10082,2024-02-27,C181,Rohan Gupta,18-25,Female,Europe,Italy,Milan,P205,Headphones,Accessories,2,2830,1910.46,919.54,0.01,Debit Card,In-Store
T10083,2024-01-15,C182,Maria Gomez,26-35,Other,Asia,Singapore,Singapore,P205,Headphones,Accessories,2,2104,1342.6,761.4,0.13,UPI,Online
T10084,2024-02-22,C183,Sarah Miller,50+,Male,South America,Argentina,Buenos Aires,P205,Headphones,Accessories,4,4212,3746.89,465.11,0.11,Credit Card,Online
T10085,2024-01-06,C184,Sarah Miller,36-50,Male,Asia,Japan,Osaka,P205,Headphones,Accessories,1,1041,790.54,250.46,0.14,Cash,Online
T10086,2024-02-24,C185,Sonia Patel,50+,Female,South America,Chile,Santiago,P402,Monitor,Electronics,4,7572,4844.74,2727.26,0.24,Net Banking,Online
T10087,2024-04-15,C186,Aditi Sharma,26-35,Other,Asia,India,Bengaluru,P101,Laptop,Electronics,2,3464,2904.76,559.24,0.07,Credit Card,Online
T10088,2024-04-01,C187,Aditi Sharma,26-35,Female,North America,Canada,Toronto,P402,Monitor,Electronics,2,2838,1724.38,1113.62,0.24,Net Banking,In-Store
T10089,2024-01-23,C188,Sarah Miller,50+,Male,Africa,Egypt,Cairo,P402,Monitor,Electronics,3,4398,3547.21,850.79,0.01,Credit Card,In-Store
T10090,2024-01-01,C189,Priya Nair,50+,Male,Africa,Kenya,Nairobi,P303,Washing Machine,Appliances,3,2553,1715.45,837.55,0.02,Net Banking,In-Store
T10091,2024-03-29,C190,Michael Ross,18-25,Male,Europe,UK,Manchester,P101,Laptop,Electronics,4,5240,3584.06,1655.94,0.24,Credit Card,In-Store
T10092,2024-04-12,C191,Aditi Sharma,18-25,Male,South America,Brazil,Rio,P402,Monitor,Electronics,4,6080,4442.67,1637.33,0.18,Debit Card,Online
T10093,2024-03-07,C192,Rohan Gupta,50+,Female,Africa,Kenya,Nairobi,P303,Washing Machine,Appliances,4,812,573.91,238.09,0.19,Cash,Online
T10094,2024-02-26,C193,Michael Ross,26-35,Male,Africa,Kenya,Nairobi,P101,Laptop,Electronics,1,1293,793.64,499.36,0.01,Net Banking,Online
T10095,2024-04-19,C194,Michael Ross,36-50,Other,North America,Canada,Toronto,P520,Microwave Oven,Appliances,2,2122,1384.82,737.18,0.0,Credit Card,In-Store
T10096,2024-03-30,C195,Meera Iyer,36-50,Other,South America,Brazil,Rio,P402,Monitor,Electronics,4,1560,1157.58,402.42,0.04,Net Banking,In-Store
T10097,2024-04-03,C196,Natalie Reed,36-50,Male,Europe,France,Paris,P112,Mobile Phone,Electronics,1,72,44.24,27.76,0.24,Cash,Online
T10098,2024-04-09,C197,Priya Nair,50+,Other,North America,USA,Seattle,P303,Washing Machine,Appliances,2,2506,1785.23,720.77,0.16,Debit Card,In-Store
T10099,2024-02-27,C198,John Carter,36-50,Female,Europe,Italy,Rome,P101,Laptop,Electronics,4,3272,2492.65,779.35,0.17,Net Banking,Online
T10100,2024-01-16,C199,Sonia Patel,26-35,Male,Europe,Germany,Berlin,P205,Headphones,Accessories,4,1540,1220.8,319.2,0.01,UPI,In-Store
T10101,2024-02-01,C200,Ethan Wilson,26-35,Female,Africa,South Africa,Johannesburg,P205,Headphones,Accessories,3,2703,2088.45,614.55,0.1,Debit Card,In-Store
T10102,2024-02-02,C201,Priya Nair,26-35,Female,North America,USA,Seattle,P303,Washing Machine,Appliances,1,1006,768.27,237.73,0.24,Cash,Online
T10103,2024-03-07,C202,Daniel Wong,26-35,Male,North America,Mexico,Mexico City,P101,Laptop,Electronics,1,1490,1185.21,304.79,0.05,Credit Card,Online
T10104,2024-01-29,C203,Sarah Miller,26-35,Female,South America,Brazil,São Paulo,P205,Headphones,Accessories,1,61,38.44,22.56,0.0,Cash,In-Store
T10105,2024-04-24,C204,Maria Gomez,36-50,Other,Asia,Japan,Tokyo,P112,Mobile Phone,Electronics,2,168,117.76,50.24,0.16,Debit Card,Online
T10106,2024-04-02,C205,Meera Iyer,26-35,Male,South America,Brazil,Rio,P112,Mobile Phone,Electronics,2,2038,1237.03,800.97,0.2,UPI,In-Store
T10107,2024-04-14,C206,Ethan Wilson,26-35,Male,Europe,France,Paris,P112,Mobile Phone,Electronics,3,3807,3075.55,731.45,0.09,Cash,Online
T10108,2024-03-15,C207,Maria Gomez,26-35,Other,Asia,Japan,Tokyo,P112,Mobile Phone,Electronics,1,1449,1188.94,260.06,0.2,Cash,Online
T10109,2024-02-05,C208,Ethan Wilson,26-35,Other,Europe,UK,London,P205,Headphones,Accessories,2,3884,3205.02,678.98,0.2,Debit Card,In-Store
T10110,2024-02-18,C209,Natalie Reed,18-25,Male,South America,Argentina,Buenos Aires,P112,Mobile Phone,Electronics,3,4863,3460.54,1402.46,0.19,UPI,Online
T10111,2024-01-24,C210,Ethan Wilson,18-25,Female,South America,Argentina,Buenos Aires,P520,Microwave Oven,Appliances,3,3789,2912.07,876.93,0.06,UPI,Online
T10112,2024-02-24,C211,Emily Clark,26-35,Male,Asia,UAE,Dubai,P520,Microwave Oven,Appliances,1,328,271.05,56.95,0.03,Cash,In-Store
T10113,2024-01-17,C212,Jake Turner,18-25,Male,Europe,UK,London,P520,Microwave Oven,Appliances,1,111,83.14,27.86,0.1,Cash,Online
T10114,2024-01-13,C213,Meera Iyer,36-50,Female,Asia,Japan,Osaka,P205,Headphones,Accessories,3,3276,2348.11,927.89,0.0,Credit Card,Online
T10115,2024-04-14,C214,Sonia Patel,18-25,Other,North America,USA,New York,P112,Mobile Phone,Electronics,3,375,264.93,110.07,0.24,Credit Card,Online
T10116,2024-04-04,C215,Jake Turner,18-25,Female,Africa,South Africa,Cape Town,P402,Monitor,Electronics,4,6548,5055.26,1492.74,0.16,Credit Card,In-Store
T10117,2024-04-26,C216,Daniel Wong,50+,Female,North America,Canada,Toronto,P402,Monitor,Electronics,1,1172,915.02,256.98,0.14,UPI,In-Store
T10118,2024-03-25,C217,Daniel Wong,18-25,Male,Europe,UK,Manchester,P303,Washing Machine,Appliances,4,6552,5487.13,1064.87,0.2,Cash,Online
T10119,2024-04-18,C218,Meera Iyer,18-25,Other,Africa,Egypt,Cairo,P520,Microwave Oven,Appliances,1,1115,994.89,120.11,0.25,Cash,Online
T10120,2024-01-05,C219,Maria Gomez,18-25,Male,North America,Mexico,Monterrey,P101,Laptop,Electronics,3,3864,2951.23,912.77,0.18,Credit Card,In-Store
T10121,2024-04-20,C220,Ethan Wilson,36-50,Female,North America,USA,Chicago,P205,Headphones,Accessories,4,4328,3585.55,742.45,0.15,UPI,In-Store
T10122,2024-04-11,C221,Sonia Patel,36-50,Male,Asia,India,Bengaluru,P112,Mobile Phone,Electronics,3,3741,3031.3,709.7,0.02,Cash,In-Store
T10123,2024-02-19,C222,Emily Clark,26-35,Other,Asia,Japan,Tokyo,P520,Microwave Oven,Appliances,3,2049,1319.52,729.48,0.13,Debit Card,In-Store
T10124,2024-02-07,C223,Aditi Sharma,26-35,Female,South America,Brazil,São Paulo,P303,Washing Machine,Appliances,3,5163,3677.51,1485.49,0.09,Credit Card,Online
T10125,2024-04-25,C224,Maria Gomez,50+,Female,South America,Chile,Santiago,P402,Monitor,Electronics,1,560,488.49,71.51,0.15,Net Banking,Online
T10126,2024-02-05,C225,Rohan Gupta,18-25,Male,Africa,Kenya,Nairobi,P520,Microwave Oven,Appliances,2,2650,1656.38,993.62,0.19,Net Banking,In-Store
T10127,2024-02-23,C226,Emily Clark,26-35,Male,Asia,Singapore,Singapore,P112,Mobile Phone,Electronics,3,420,283.34,136.66,0.08,Net Banking,In-Store
T10128,2024-03-07,C227,Michael Ross,50+,Other,South America,Brazil,São Paulo,P520,Microwave Oven,Appliances,1,702,506.54,195.46,0.14,UPI,In-Store
T10129,2024-01-20,C228,Ethan Wilson,50+,Other,Europe,Italy,Milan,P520,Microwave Oven,Appliances,4,2020,1283.22,736.78,0.16,Credit Card,Online
T10130,2024-01-01,C229,Sonia Patel,26-35,Other,Europe,Italy,Rome,P520,Microwave Oven,Appliances,3,1191,1058.38,132.62,0.09,Debit Card,In-Store
T10131,2024-04-22,C230,John Carter,26-35,Female,Europe,UK,London,P112,Mobile Phone,Electronics,1,873,662.18,210.82,0.11,Cash,In-Store
T10132,2024-02-27,C231,Natalie Reed,18-25,Male,Asia,Japan,Osaka,P520,Microwave Oven,Appliances,4,2936,2615.87,320.13,0.01,Cash,In-Store
T10133,2024-01-21,C232,John Carter,50+,Other,Asia,Singapore,Singapore,P520,Microwave Oven,Appliances,4,3740,3281.45,458.55,0.23,Net Banking,In-Store
T10134,2024-02-05,C233,Michael Ross,36-50,Male,North America,Canada,Vancouver,P112,Mobile Phone,Electronics,3,5196,4628.55,567.45,0.13,Debit Card,In-Store
T10135,2024-04-14,C234,Daniel Wong,18-25,Female,North America,USA,Seattle,P303,Washing Machine,Appliances,1,1599,1100.67,498.33,0.25,UPI,Online
T10136,2024-02-23,C235,Meera Iyer,18-25,Other,Europe,Italy,Milan,P112,Mobile Phone,Electronics,2,2664,2318.61,345.39,0.01,Net Banking,Online
T10137,2024-01-12,C236,Jake Turner,26-35,Other,Africa,Egypt,Cairo,P112,Mobile Phone,Electronics,2,1570,969.25,600.75,0.1,Credit Card,In-Store
T10138,2024-01-24,C237,Rohan Gupta,36-50,Female,South America,Argentina,Buenos Aires,P112,Mobile Phone,Electronics,4,1688,1153.27,534.73,0.05,UPI,In-Store
T10139,2024-03-30,C238,Daniel Wong,50+,Other,Europe,UK,Manchester,P303,Washing Machine,Appliances,4,2988,1998.43,989.57,0.07,UPI,Online
T10140,2024-04-10,C239,Lucas Brown,36-50,Other,Europe,France,Lyon,P205,Headphones,Accessories,1,789,706.84,82.16,0.17,Credit Card,In-Store
T10141,2024-01-17,C240,Michael Ross,36-50,Other,Asia,UAE,Abu Dhabi,P101,Laptop,Electronics,1,978,707.45,270.55,0.15,Credit Card,Online
T10142,2024-04-21,C241,Sarah Miller,26-35,Other,Europe,Italy,Rome,P520,Microwave Oven,Appliances,1,958,836.6,121.4,0.21,UPI,Online
T10143,2024-03-22,C242,Maria Gomez,50+,Other,South America,Brazil,Rio,P303,Washing Machine,Appliances,3,915,708.53,206.47,0.23,UPI,In-Store
T10144,2024-01-10,C243,Natalie Reed,50+,Male,South America,Argentina,Buenos Aires,P112,Mobile Phone,Electronics,4,3388,2913.07,474.93,0.01,UPI,In-Store
T10145,2024-04-28,C244,Priya Nair,26-35,Female,North America,USA,Chicago,P303,Washing Machine,Appliances,4,7496,6246.27,1249.73,0.12,Net Banking,Online
T10146,2024-04-20,C245,Lucas Brown,26-35,Female,South America,Argentina,Buenos Aires,P205,Headphones,Accessories,1,1852,1441.3,410.7,0.1,Credit Card,Online
T10147,2024-03-26,C246,Sonia Patel,26-35,Male,Africa,South Africa,Johannesburg,P520,Microwave Oven,Appliances,3,2532,1951.47,580.53,0.02,Cash,Online
T10148,2024-04-14,C247,Sarah Miller,50+,Male,Europe,France,Lyon,P303,Washing Machine,Appliances,3,1680,1145.8,534.2,0.01,UPI,Online
T10149,2024-01-06,C248,Priya Nair,50+,Female,Asia,Singapore,Singapore,P205,Headphones,Accessories,4,3032,2728.54,303.46,0.25,Credit Card,In-Store
T10150,2024-02-22,C249,Rohan Gupta,26-35,Male,Africa,Egypt,Cairo,P101,Laptop,Electronics,3,3138,2566.37,571.63,0.19,Cash,In-Store
T10151,2024-03-23,C250,Natalie Reed,18-25,Female,North America,Mexico,Mexico City,P112,Mobile Phone,Electronics,1,1158,851.32,306.68,0.03,Net Banking,In-Store
T10152,2024-02-20,C251,Rohan Gupta,18-25,Other,South America,Argentina,Buenos Aires,P303,Washing Machine,Appliances,1,766,507.22,258.78,0.22,Net Banking,Online
T10153,2024-04-13,C252,Sonia Patel,36-50,Male,Africa,Egypt,Cairo,P101,Laptop,Electronics,4,332,234.87,97.13,0.03,UPI,Online
T10154,2024-01-26,C253,Sonia Patel,50+,Male,North America,Mexico,Monterrey,P402,Monitor,Electronics,2,1446,1074.18,371.82,0.21,Debit Card,Online
T10155,2024-02-19,C254,Meera Iyer,26-35,Other,Europe,Italy,Rome,P101,Laptop,Electronics,4,4508,4013.89,494.11,0.02,UPI,Online
T10156,2024-02-26,C255,Natalie Reed,18-25,Other,Asia,Singapore,Singapore,P101,Laptop,Electronics,1,673,500.72,172.28,0.11,Credit Card,Online
T10157,2024-04-10,C256,Sarah Miller,50+,Male,North America,Mexico,Monterrey,P205,Headphones,Accessories,1,1983,1608.66,374.34,0.05,Credit Card,Online
T10158,2024-02-07,C257,Emily Clark,26-35,Male,North America,Mexico,Mexico City,P520,Microwave Oven,Appliances,4,3252,2907.74,344.26,0.15,Cash,Online
T10159,2024-03-22,C258,Lucas Brown,26-35,Male,Asia,UAE,Abu Dhabi,P101,Laptop,Electronics,2,2816,2059.18,756.82,0.23,UPI,Online
T10160,2024-02-21,C259,Sarah Miller,18-25,Female,Europe,France,Lyon,P520,Microwave Oven,Appliances,1,215,158.08,56.92,0.23,Credit Card,In-Store
T10161,2024-01-30,C260,Ethan Wilson,18-25,Other,North America,Mexico,Monterrey,P101,Laptop,Electronics,3,3537,3037.25,499.75,0.24,Net Banking,Online
T10162,2024-01-04,C261,Michael Ross,26-35,Other,Africa,Kenya,Nairobi,P402,Monitor,Electronics,2,466,397.32,68.68,0.19,Net Banking,Online
T10163,2024-03-24,C262,Priya Nair,36-50,Other,North America,Canada,Vancouver,P303,Washing Machine,Appliances,4,472,421.97,50.03,0.12,UPI,In-Store
T10164,2024-03-17,C263,John Carter,18-25,Male,South America,Chile,Santiago,P402,Monitor,Electronics,2,3640,2816.98,823.02,0.09,Credit Card,Online
T10165,2024-04-20,C264,Rohan Gupta,26-35,Male,Asia,India,Delhi,P520,Microwave Oven,Appliances,1,1736,1108.29,627.71,0.04,Cash,In-Store
T10166,2024-04-27,C265,Sonia Patel,18-25,Other,North America,Mexico,Mexico City,P101,Laptop,Electronics,4,6372,4167.42,2204.58,0.17,UPI,Online
